,Name,Year_of_Release,Publisher,Country,City,Developer,Platform,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
3692,Dance Dance Revolution Ultramix,2003.0,Konami Digital Entertainment,nan,nan,Konami Computer Entertainment Hawaii,XB,Simulation,0.42,0.11,0.0,0.02,0.54,82.0,24.0,8.8,10.0,E
3693,Crash Tag Team Racing,2005.0,Vivendi Games,nan,nan,Radical Entertainment,PS2,Racing,0.27,0.21,0.0,0.07,0.54,66.0,21.0,7.0,49.0,E10+
3694,Front Mission 4,2003.0,Square Enix,Japan,"Shinjuku, Tokyo",Square Enix,PS2,Strategy,0.14,0.11,0.25,0.04,0.54,75.0,39.0,8.6,22.0,T
3695,The Fairly Odd Parents: Breakin' Da Rules,2003.0,THQ,United States,Agoura Hills,,GBA,Platform,0.39,0.14,0.0,0.01,0.54,,,,,
3696,Rayman Origins,2012.0,Ubisoft,Europe,Montreuil-sous-Bois,UBlart Montpellier,PSV,Platform,0.12,0.33,0.0,0.09,0.54,88.0,54.0,8.4,298.0,E10+
3697,Ninokuni: Shikkoku no Madoushi,2010.0,Level 5,nan,nan,,DS,Role-Playing,0.0,0.0,0.54,0.0,0.54,,,,,
3698,F.E.A.R.,2007.0,Vivendi Games,nan,nan,Day 1 Studios,PS3,Shooter,0.18,0.26,0.0,0.1,0.54,72.0,31.0,7.4,64.0,M
3699,Enslaved: Odyssey to the West,2010.0,Namco Bandai Games,nan,nan,Ninja Theory,X360,Action,0.3,0.19,0.0,0.05,0.54,82.0,72.0,7.8,295.0,T
3700,SRS: Street Racing Syndicate,2004.0,Namco Bandai Games,nan,nan,,PS2,Racing,0.26,0.21,0.0,0.07,0.54,,,,,
3701,Dragon Ball Z: Shin Budokai,2006.0,Atari,United States,Pawtucket,Dimps Corporation,PSP,Fighting,0.26,0.08,0.13,0.07,0.54,70.0,21.0,8.1,19.0,T
3702,Tiger Woods PGA Tour 13,2012.0,Electronic Arts,United States,Redwood City,Electronic Arts,PS3,Sports,0.24,0.21,0.0,0.08,0.54,75.0,14.0,5.7,9.0,E
3703,Dynasty Warriors: Gundam 3,2010.0,Tecmo Koei,nan,nan,"Omega Force, Koei Tecmo Games",PS3,Action,0.11,0.04,0.36,0.02,0.54,58.0,18.0,7.5,20.0,T
3704,Def Jam: Fight for NY,,Electronic Arts,United States,Redwood City,Aki Corp.,XB,Fighting,0.43,0.1,0.0,0.02,0.54,84.0,33.0,8.5,13.0,M
3705,Action Force,1982.0,CPG Products,nan,nan,,2600,Action,0.5,0.03,0.0,0.01,0.54,,,,,
3706,FIFA 99,1998.0,Electronic Arts,United States,Redwood City,,N64,Sports,0.11,0.39,0.0,0.03,0.54,,,,,
3707,Gauntlet Legends,1999.0,Midway Games,United States,Chicago,,N64,Action,0.43,0.1,0.0,0.01,0.54,,,,,
3708,Kidou Senshi Gundam: Extreme VS,2011.0,Namco Bandai Games,nan,nan,,PS3,Fighting,0.0,0.0,0.54,0.0,0.54,,,,,
3709,System 3 presents Ferrari Challenge Trofeo Pirelli,2008.0,System 3 Arcade Software,nan,nan,,Wii,Racing,0.07,0.4,0.0,0.07,0.54,,,,,
3710,Tony Hawk: Shred,2010.0,Activision,United States,Santa Monica,Robomodo,Wii,Sports,0.39,0.11,0.0,0.04,0.54,,,7.0,7.0,E
3711,Tiger Woods PGA Tour 11,2010.0,Electronic Arts,United States,Redwood City,EA Sports,Wii,Sports,0.23,0.25,0.0,0.06,0.54,84.0,29.0,8.3,23.0,E
3712,NBA Live 10,2009.0,Electronic Arts,United States,Redwood City,EA Canada,PS3,Sports,0.46,0.02,0.01,0.05,0.54,81.0,32.0,7.5,25.0,E
3713,Metro 2033,2010.0,THQ,United States,Agoura Hills,4A Games,X360,Shooter,0.22,0.23,0.03,0.05,0.54,77.0,83.0,7.9,351.0,M
3714,Bust A Groove,1998.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",,PS,Misc,0.09,0.06,0.35,0.04,0.54,,,,,
3715,Fire Emblem: Path of Radiance,2005.0,Nintendo,Japan,Kyoto,Intelligent Systems,GC,Action,0.29,0.08,0.16,0.01,0.54,85.0,42.0,8.9,141.0,T
3716,Dragon Quest Characters: Torneko no Daibouken 3: Fushigi no Dungeon,2002.0,Enix Corporation,nan,nan,,PS2,Role-Playing,0.0,0.0,0.54,0.0,0.54,,,,,
3717,Hotel Dusk: Room 215,2007.0,Nintendo,Japan,Kyoto,Cing,DS,Adventure,0.26,0.04,0.22,0.03,0.54,78.0,57.0,8.6,102.0,T
3718,Final Fantasy Explorers,2014.0,Square Enix,Japan,"Shinjuku, Tokyo",Racjin,3DS,Role-Playing,0.16,0.07,0.28,0.02,0.54,69.0,57.0,7.0,87.0,E10+
3719,Pachi-Slot Aruze Oukoku 2,1999.0,Aruze Corp,nan,nan,,PS,Misc,0.0,0.0,0.5,0.04,0.54,,,,,
3720,Bratz: Rock Angelz,2004.0,THQ,United States,Agoura Hills,Altron,GBA,Misc,0.39,0.14,0.0,0.01,0.54,,,,,E
3721,SSX Tricky,2001.0,Electronic Arts,United States,Redwood City,EA Sports Big,GC,Sports,0.42,0.11,0.0,0.01,0.54,87.0,20.0,8.6,18.0,E
3722,Greg Hastings' Tournament Paintball,2004.0,Activision,United States,Santa Monica,WXP,XB,Shooter,0.46,0.06,0.0,0.02,0.54,74.0,11.0,9.2,42.0,T
3723,World Soccer Winning Eleven 7 International (JP version),2004.0,Konami Digital Entertainment,nan,nan,,PS2,Sports,0.0,0.0,0.54,0.0,0.54,,,,,
3724,ESPN NBA Basketball,2003.0,Sega,United States,"Ota, Tokyo,San Francisco",Visual Concepts,PS2,Sports,0.26,0.21,0.0,0.07,0.54,89.0,18.0,8.4,38.0,E
3725,Dragon Ball Z: Ultimate Tenkaichi,2011.0,Namco Bandai Games,nan,nan,Spike,X360,Fighting,0.39,0.1,0.01,0.04,0.54,55.0,24.0,5.8,52.0,T
3726,Sacred 2: Fallen Angel,2009.0,Deep Silver,nan,nan,"Ascaron Entertainment GmbH, Ascaron Entertainment",X360,Role-Playing,0.29,0.16,0.04,0.05,0.54,71.0,56.0,7.3,64.0,M
3727,Two Worlds II,2011.0,Unknown,nan,nan,Reality Pump,X360,Role-Playing,0.4,0.07,0.03,0.03,0.54,67.0,50.0,6.6,140.0,M
3728,Over the Hedge,2006.0,Activision,United States,Santa Monica,Edge of Reality,PS2,Platform,0.45,0.02,0.0,0.07,0.54,58.0,29.0,8.6,10.0,E10+
3729,Mat Hoffman's Pro BMX,2001.0,Activision,United States,Santa Monica,Shaba Games,PS,Sports,0.3,0.2,0.0,0.04,0.54,80.0,15.0,8.6,16.0,E
3730,Phineas and Ferb: Across the 2nd Dimension,2011.0,Disney Interactive Studios,United States,Glendale,Altron,DS,Action,0.31,0.18,0.0,0.05,0.54,47.0,5.0,,,E
3731,50 Classic Games,2009.0,Destineer,nan,nan,Cerasus Media,DS,Misc,0.5,0.0,0.0,0.04,0.54,,,,,E
3732,Let's Draw!,2008.0,Ubisoft,Europe,Montreuil-sous-Bois,,DS,Misc,0.24,0.23,0.0,0.06,0.54,,,,,
3733,NHL 14,2013.0,Electronic Arts,United States,Redwood City,Electronic Arts,X360,Sports,0.4,0.09,0.0,0.05,0.54,81.0,30.0,5.9,92.0,E10+
3734,Popeye,1982.0,Parker Bros.,nan,nan,,2600,Platform,0.5,0.03,0.0,0.01,0.54,,,,,
3735,Petz Nursery,2009.0,Ubisoft,Europe,Montreuil-sous-Bois,Digital Kids,DS,Simulation,0.5,0.0,0.0,0.04,0.54,,,,,E
3736,The Hobbit,2003.0,Vivendi Games,nan,nan,Inevitable Entertainment,PS2,Platform,0.26,0.2,0.0,0.07,0.54,59.0,17.0,8.6,14.0,E
3737,War of the Monsters,2003.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",Incognito Inc.,PS2,Fighting,0.26,0.2,0.0,0.07,0.54,80.0,41.0,8.9,68.0,T
3738,Harry Potter and the Deathly Hallows - Part 1,2010.0,Electronic Arts,United States,Redwood City,Electronic Arts,Wii,Action,0.22,0.27,0.0,0.05,0.54,41.0,8.0,5.0,11.0,T
3739,NBA Street Vol. 2,,Electronic Arts,United States,Redwood City,Electronic Arts,GC,Sports,0.41,0.11,0.0,0.01,0.54,88.0,16.0,8.1,7.0,E
3740,The Incredible Hulk: Ultimate Destruction,2005.0,Vivendi Games,nan,nan,Radical Entertainment,PS2,Action,0.26,0.2,0.0,0.07,0.54,83.0,41.0,8.7,38.0,T
3741,Time Crisis: Razing Storm,2010.0,Namco Bandai Games,nan,nan,Nex Entertainment,PS3,Shooter,0.18,0.2,0.07,0.08,0.54,58.0,49.0,5.9,15.0,T
3742,Summer Sports: Paradise Island,2008.0,Ubisoft,Europe,Montreuil-sous-Bois,Destineer,Wii,Sports,0.48,0.01,0.0,0.04,0.53,46.0,7.0,4.6,7.0,E
3743,"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare",1998.0,Sega,United States,"Ota, Tokyo,San Francisco",,SAT,Adventure,0.0,0.0,0.53,0.0,0.53,,,,,
3744,Time Crisis II,2001.0,Namco Bandai Games,nan,nan,Namco,PS2,Shooter,0.26,0.2,0.0,0.07,0.53,81.0,21.0,7.9,20.0,T
3745,Inazuma Eleven GO,2011.0,Nintendo,Japan,Kyoto,,3DS,Role-Playing,0.0,0.05,0.48,0.0,0.53,,,,,
3746,Clock Tower,1996.0,ASCII Entertainment,nan,nan,,PS,Adventure,0.07,0.05,0.38,0.03,0.53,,,,,
3747,NCAA March Madness 06,2005.0,Electronic Arts,United States,Redwood City,EA Canada,PS2,Sports,0.45,0.02,0.0,0.07,0.53,78.0,19.0,9.1,13.0,E
3748,LEGO Dimensions,2015.0,Warner Bros. Interactive Entertainment,United States,Chicago,Traveller's Tales,WiiU,Action,0.3,0.18,0.0,0.05,0.53,62.0,5.0,6.5,29.0,E10+
3749,Valkyria Chronicles II,2010.0,Sega,United States,"Ota, Tokyo,San Francisco",Sega,PSP,Role-Playing,0.12,0.15,0.18,0.09,0.53,83.0,54.0,8.1,67.0,T
3750,Jampack Volume 11,2004.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",,PS2,Misc,0.26,0.2,0.0,0.07,0.53,,,,,
3751,Monster High: Ghoul Spirit,2011.0,THQ,United States,Agoura Hills,THQ,Wii,Misc,0.42,0.07,0.0,0.04,0.53,,,,,E
3752,Tatsunoko vs. Capcom: Ultimate All-Stars,2010.0,Capcom,Japan,Osaka,Eighting,Wii,Fighting,0.3,0.15,0.03,0.05,0.53,85.0,62.0,8.8,85.0,T
3753,Rune Factory: A Fantasy Harvest Moon,2006.0,Rising Star Games,United Kingdom,Luton,Neverland,DS,Role-Playing,0.35,0.01,0.14,0.03,0.53,78.0,26.0,8.1,52.0,E
3754,Legacy of Kain: Defiance,2003.0,Eidos Interactive,nan,nan,Crystal Dynamics,PS2,Action,0.26,0.2,0.0,0.07,0.53,75.0,34.0,9.3,49.0,M
3755,SpongeBob SquarePants: Game Boy Advance Video Volume 2,2004.0,nan,nan,nan,,GBA,Misc,0.38,0.14,0.0,0.01,0.53,,,,,
3756,NCAA March Madness 2005,2004.0,Electronic Arts,United States,Redwood City,EA Canada,PS2,Sports,0.44,0.02,0.0,0.07,0.53,78.0,19.0,8.3,13.0,E
3757,007 Racing,2000.0,Electronic Arts,United States,Redwood City,Eutechnyx,PS,Racing,0.3,0.2,0.0,0.03,0.53,51.0,16.0,4.6,14.0,T
3758,Tactics Ogre: Let Us Cling Together,2010.0,Square Enix,Japan,"Shinjuku, Tokyo",Square Enix,PSP,Role-Playing,0.15,0.07,0.27,0.05,0.53,87.0,49.0,8.8,102.0,T
3759,Conflict: Vietnam,2004.0,SCi,nan,nan,Pivotal Games,PS2,Shooter,0.26,0.2,0.0,0.07,0.53,58.0,24.0,8.1,21.0,M
3760,Dragon's Crown,2013.0,Nippon Ichi Software,Japan,Kakamigahara,Vanillaware,PS3,Role-Playing,0.25,0.07,0.17,0.05,0.53,82.0,62.0,8.3,288.0,T
3761,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,2004.0,Sega,United States,"Ota, Tokyo,San Francisco",,XB,Misc,0.4,0.11,0.0,0.02,0.53,,,,,
3762,MLB SlugFest 20-04,2003.0,Midway Games,United States,Chicago,Midway,PS2,Sports,0.26,0.2,0.0,0.07,0.53,78.0,23.0,8.3,8.0,E
3763,Gex 3: Deep Cover Gecko,1999.0,Eidos Interactive,nan,nan,,PS,Platform,0.3,0.2,0.0,0.03,0.53,,,,,
3764,NASCAR 09,2008.0,Electronic Arts,United States,Redwood City,EA Tiburon,PS2,Racing,0.26,0.2,0.0,0.07,0.53,,,7.9,8.0,E
3765,Blitz: The League,2004.0,Midway Games,United States,Chicago,Midway,XB,Sports,0.4,0.11,0.0,0.02,0.53,78.0,30.0,7.7,14.0,M
3766,Manhunt 2,2007.0,Take-Two Interactive,nan,nan,Rockstar Toronto,Wii,Action,0.25,0.23,0.0,0.06,0.53,62.0,38.0,7.1,46.0,M
3767,Just Dance 2015,2014.0,Ubisoft,Europe,Montreuil-sous-Bois,Ubisoft,XOne,Misc,0.35,0.13,0.0,0.05,0.53,70.0,17.0,7.5,20.0,E10+
3768,Jampack Vol. 2,1996.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",,PS,Misc,0.3,0.2,0.0,0.03,0.53,,,,,
3769,The LEGO Movie Videogame,2014.0,Warner Bros. Interactive Entertainment,United States,Chicago,TT Games,XOne,Action,0.35,0.13,0.0,0.05,0.53,69.0,18.0,6.9,49.0,E10+
3770,Virtual Soccer,1993.0,Hudson Soft,Japan,Tokyo,,SNES,Sports,0.0,0.0,0.53,0.0,0.53,,,,,
3771,Overwatch,2016.0,Activision,United States,Santa Monica,Blizzard Entertainment,PC,Shooter,0.25,0.24,0.0,0.04,0.53,91.0,62.0,6.8,4052.0,T
3772,Romance of the Three Kingdoms IV: Wall of Fire,1994.0,Tecmo Koei,nan,nan,,SNES,Strategy,0.0,0.0,0.53,0.0,0.53,,,,,
3773,Monster Jam: Path of Destruction,2010.0,Activision,United States,Santa Monica,Virtuos,Wii,Racing,0.48,0.02,0.0,0.03,0.53,,,,,E
3774,Winning Post,1993.0,Tecmo Koei,nan,nan,,SNES,Sports,0.0,0.0,0.53,0.0,0.53,,,,,
3775,Peter Jackson's King Kong: The Official Game of the Movie,2005.0,Ubisoft,Europe,Montreuil-sous-Bois,Ubisoft Montpellier,XB,Action,0.34,0.17,0.0,0.02,0.53,82.0,43.0,8.5,11.0,T
3776,Burnout Revenge,2005.0,Electronic Arts,United States,Redwood City,Criterion Games,XB,Racing,0.32,0.19,0.0,0.01,0.53,89.0,65.0,8.4,66.0,E10+
3777,Medal of Honor: European Assault,2005.0,Electronic Arts,United States,Redwood City,EA LA,XB,Shooter,0.32,0.19,0.0,0.02,0.53,72.0,42.0,7.0,15.0,T
3778,Ty the Tasmanian Tiger 2: Bush Rescue,2004.0,Electronic Arts,United States,Redwood City,Krome Studios,PS2,Platform,0.26,0.2,0.0,0.07,0.53,71.0,24.0,8.2,22.0,E
3779,The Lord of the Rings: The Fellowship of the Ring,2002.0,Universal Interactive,nan,nan,WXP,XB,Action,0.31,0.19,0.0,0.03,0.53,59.0,23.0,6.6,10.0,T
3780,NBA 06,2005.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",SCEA Sports Studio,PS2,Sports,0.26,0.2,0.0,0.07,0.53,63.0,26.0,6.3,27.0,E
3781,Inazuma Eleven,2008.0,Nintendo,Japan,Kyoto,,DS,Role-Playing,0.0,0.13,0.38,0.02,0.53,,,,,
3782,Excite Truck,2006.0,Nintendo,Japan,Kyoto,Monster Games Inc.,Wii,Racing,0.39,0.03,0.08,0.04,0.53,72.0,57.0,8.4,83.0,E
3783,Phoenix Wright: Ace Attorney - Justice for All,2006.0,Capcom,Japan,Osaka,,DS,Adventure,0.21,0.04,0.26,0.03,0.53,,,,,
3784,Spider-Man,2000.0,Activision,United States,Santa Monica,,N64,Action,0.43,0.09,0.0,0.01,0.53,,,,,
3785,Magician's Quest: Mysterious Times,2008.0,Konami Digital Entertainment,nan,nan,Konami,DS,Role-Playing,0.04,0.01,0.48,0.0,0.53,69.0,13.0,7.6,9.0,E10+
3786,Hello Kitty: Big City Dreams,2008.0,Empire Interactive,nan,nan,Human Soft,DS,Puzzle,0.42,0.07,0.0,0.04,0.53,,,,,E
3787,X-Men Legends,2004.0,Activision,United States,Santa Monica,Raven Software,GC,Role-Playing,0.41,0.11,0.0,0.01,0.53,81.0,36.0,8.5,11.0,T
3788,Mario & Sonic at the Rio 2016 Olympic Games,2016.0,Nintendo,Japan,Kyoto,,3DS,Action,0.05,0.21,0.25,0.02,0.53,,,,,
3789,G-Force,2009.0,Disney Interactive Studios,United States,Glendale,Keen Games,DS,Action,0.26,0.21,0.0,0.05,0.53,,,9.0,5.0,E10+
3790,Front Mission 2,1997.0,SquareSoft,nan,nan,,PS,Strategy,0.0,0.0,0.49,0.03,0.53,,,,,
3791,StarCraft II: Legacy of the Void,2015.0,Activision,United States,Santa Monica,Blizzard Entertainment,PC,Strategy,0.19,0.29,0.0,0.04,0.53,88.0,62.0,8.3,833.0,T
3792,Jewel Master Egypt,2009.0,Rondomedia,nan,nan,Storm City Games,DS,Puzzle,0.21,0.27,0.0,0.05,0.53,56.0,9.0,,,E
3793,ModNation Racers,2010.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",SCEA San Diego Studios,PSP,Racing,0.11,0.26,0.02,0.14,0.53,73.0,22.0,7.7,22.0,E
3794,LEGO Dimensions,2015.0,Warner Bros. Interactive Entertainment,United States,Chicago,,X360,Action,0.26,0.23,0.0,0.04,0.53,,,6.1,18.0,
3795,WWE SmackDown vs. Raw 2010,2009.0,THQ,United States,Agoura Hills,Yuke's,DS,Fighting,0.35,0.13,0.0,0.05,0.53,75.0,7.0,8.3,4.0,T
3796,Are You Smarter Than A 5th Grader?,2007.0,Mindscape,nan,nan,ValuSoft,DS,Misc,0.48,0.0,0.0,0.04,0.53,,,,,E
3797,Oni,2001.0,Take-Two Interactive,nan,nan,Rockstar Toronto,PS2,Action,0.26,0.2,0.0,0.07,0.53,69.0,24.0,7.8,22.0,T
3798,Tom Clancy's Ghost Recon Advanced Warfighter 2,2007.0,Ubisoft,Europe,Montreuil-sous-Bois,"High Voltage Software, Ubisoft Paris",PSP,Shooter,0.35,0.09,0.0,0.08,0.53,61.0,12.0,6.4,9.0,T
3799,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,2008.0,THQ,United States,Agoura Hills,Incinerator Games,Wii,Action,0.49,0.0,0.0,0.04,0.53,47.0,5.0,5.4,10.0,E
3800,Terminator Salvation,2009.0,Warner Bros. Interactive Entertainment,United States,Chicago,GRIN,PS3,Shooter,0.13,0.28,0.01,0.1,0.53,43.0,41.0,3.9,70.0,T
3801,How to Train Your Dragon,2010.0,Activision,United States,Santa Monica,Griptonite Games,DS,Action,0.31,0.17,0.0,0.05,0.53,60.0,8.0,,,E10+
3802,The Lord of the Rings: The Two Towers,2002.0,Electronic Arts,United States,Redwood City,Stormfront Studios,GC,Action,0.41,0.11,0.0,0.01,0.53,82.0,13.0,8.7,23.0,T
3803,Batman: Arkham City,2011.0,Warner Bros. Interactive Entertainment,United States,Chicago,Rocksteady Studios,PC,Action,0.16,0.28,0.0,0.09,0.53,91.0,27.0,8.6,1847.0,T
3804,Juiced,2005.0,THQ,United States,Agoura Hills,Juice Games,PS2,Racing,0.26,0.2,0.0,0.07,0.53,68.0,36.0,7.7,24.0,T
3805,The Warriors,2005.0,Take-Two Interactive,nan,nan,Rockstar Toronto,PS2,Action,0.44,0.02,0.0,0.07,0.53,84.0,52.0,8.5,72.0,M
3806,J-League Soccer: Prime Goal 2,1994.0,Namco Bandai Games,nan,nan,,SNES,Sports,0.0,0.0,0.53,0.0,0.53,,,,,
3807,Star Fox Command,2006.0,Nintendo,Japan,Kyoto,Q-Games,DS,Shooter,0.38,0.01,0.1,0.04,0.53,76.0,56.0,7.3,56.0,E10+
3808,Dragon Age: Inquisition,2014.0,Electronic Arts,United States,Redwood City,BioWare,X360,Role-Playing,0.36,0.12,0.0,0.05,0.53,,,5.1,235.0,M
3809,Wayne Gretzky's 3D Hockey,1996.0,Nintendo,Japan,Kyoto,,N64,Sports,0.49,0.03,0.0,0.0,0.53,,,,,
3810,NASCAR 2000,1999.0,Electronic Arts,United States,Redwood City,,N64,Racing,0.49,0.03,0.0,0.0,0.53,,,,,
3811,Pachi-Slot Aruze Oukoku 4,2000.0,Aruze Corp,nan,nan,,PS,Misc,0.0,0.0,0.49,0.03,0.53,,,,,
3812,Bulletstorm,2011.0,Electronic Arts,United States,Redwood City,"Epic Games, People Can Fly",PS3,Shooter,0.23,0.2,0.01,0.08,0.53,83.0,57.0,7.7,288.0,M
3813,Return to Castle Wolfenstein: Operation Resurrection,2003.0,Activision,United States,Santa Monica,Raster,PS2,Shooter,0.26,0.2,0.0,0.07,0.53,66.0,21.0,8.0,23.0,M
3814,Mario Tennis: Power Tour,2005.0,Nintendo,Japan,Kyoto,Camelot Software Planning,GBA,Sports,0.24,0.09,0.19,0.01,0.52,81.0,21.0,8.0,25.0,E
3815,Seaman,1999.0,Sega,United States,"Ota, Tokyo,San Francisco",Vivarium,DC,Simulation,0.0,0.0,0.52,0.0,0.52,82.0,24.0,8.4,16.0,T
3816,The Grinch,1999.0,Konami Digital Entertainment,nan,nan,VU Games,PS,Adventure,0.29,0.2,0.0,0.03,0.52,55.0,8.0,,,E
3817,Tales of Symphonia,2013.0,Namco Bandai Games,nan,nan,Namco Bandai Games,PS3,Role-Playing,0.21,0.12,0.13,0.07,0.52,,,7.2,6.0,T
3818,Michael Jackson: The Experience,2011.0,Ubisoft,Europe,Montreuil-sous-Bois,Ubisoft Montreal,PS3,Misc,0.25,0.19,0.0,0.08,0.52,66.0,11.0,8.4,16.0,E10+
3819,Tales of Destiny,2006.0,Namco Bandai Games,nan,nan,,PS2,Role-Playing,0.0,0.0,0.52,0.0,0.52,,,,,
3820,Stuntman: Ignition,2007.0,THQ,United States,Agoura Hills,Paradigm Entertainment,PS3,Racing,0.17,0.26,0.0,0.1,0.52,76.0,18.0,6.2,12.0,T
3821,Littlest Pet Shop 3: Biggest Stars - Blue / Pink / Purple Team,2010.0,Electronic Arts,United States,Redwood City,,DS,Simulation,0.49,0.0,0.0,0.03,0.52,,,,,
3822,F.E.A.R. 2: Project Origin,2009.0,Warner Bros. Interactive Entertainment,United States,Chicago,Monolith Productions,X360,Shooter,0.32,0.15,0.0,0.05,0.52,77.0,68.0,8.0,114.0,M
3823,Mystery Dungeon: Shiren the Wanderer,2006.0,Sega,United States,"Ota, Tokyo,San Francisco",ChunSoft,DS,Role-Playing,0.17,0.0,0.33,0.02,0.52,69.0,27.0,8.2,21.0,E
3824,GT Pro Series,2006.0,Ubisoft,Europe,Montreuil-sous-Bois,MTO,Wii,Racing,0.46,0.01,0.02,0.04,0.52,41.0,15.0,4.0,21.0,E
3825,Tiger Woods PGA Tour 11,2010.0,Electronic Arts,United States,Redwood City,EA Sports,X360,Sports,0.28,0.19,0.0,0.05,0.52,79.0,51.0,7.8,19.0,E
3826,The Golden Compass,2007.0,Sega,United States,"Ota, Tokyo,San Francisco",Shiny Entertainment,PS2,Action,0.13,0.0,0.0,0.39,0.52,46.0,10.0,5.2,6.0,E10+
3827,Final Fantasy Chronicles,2001.0,Square,nan,nan,TOSE,PS,Role-Playing,0.29,0.2,0.0,0.03,0.52,89.0,15.0,9.1,37.0,T
3828,F1 2009,2009.0,Codemasters,United Kingdom,Southam,Sumo Digital,PSP,Racing,0.08,0.29,0.0,0.16,0.52,68.0,23.0,7.2,14.0,E
3829,Syphon Filter 3,2001.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",Sony Bend,PS,Shooter,0.29,0.2,0.0,0.03,0.52,73.0,19.0,8.5,36.0,M
3830,Metal Gear Solid 2: Substance,2002.0,Konami Digital Entertainment,nan,nan,KCEJ,PS2,Action,0.18,0.14,0.16,0.05,0.52,87.0,17.0,9.0,126.0,M
3831,Tales of Symphonia: Dawn of the New World,2008.0,Namco Bandai Games,nan,nan,Bandai Namco Games,Wii,Role-Playing,0.21,0.04,0.24,0.02,0.52,68.0,46.0,7.1,93.0,T
3832,NBA Live 08,2007.0,Electronic Arts,United States,Redwood City,EA Canada,X360,Sports,0.47,0.0,0.0,0.04,0.52,73.0,37.0,5.3,19.0,E
3833,Guinness World Records: The Videogame,2008.0,Warner Bros. Interactive Entertainment,United States,Chicago,TT Fusion,DS,Action,0.47,0.01,0.0,0.04,0.52,70.0,4.0,,,E
3834,We Love Katamari,2005.0,Electronic Arts,United States,Redwood City,Namco,PS2,Puzzle,0.26,0.2,0.0,0.07,0.52,86.0,61.0,8.9,51.0,E
3835,Sesame Street: Once Upon A Monster,2011.0,Warner Bros. Interactive Entertainment,United States,Chicago,Double Fine Productions,X360,Misc,0.39,0.09,0.0,0.04,0.52,79.0,26.0,6.9,22.0,E
3836,NCAA Football 2003,2002.0,Electronic Arts,United States,Redwood City,EA Sports,XB,Sports,0.39,0.11,0.0,0.02,0.52,90.0,14.0,8.2,15.0,E
3837,We Cheer,2008.0,505 Games,nan,nan,"Machatin, Inc.",Wii,Simulation,0.47,0.0,0.0,0.04,0.52,56.0,12.0,7.3,13.0,E10+
3838,Madden NFL 07,2006.0,Electronic Arts,United States,Redwood City,EA Tiburon,PS3,Sports,0.47,0.0,0.01,0.04,0.52,76.0,25.0,4.2,22.0,E
3839,Ready 2 Rumble Boxing: Round 2,2000.0,Midway Games,United States,Chicago,Point of View,PS,Fighting,0.29,0.2,0.0,0.03,0.52,68.0,5.0,,,T
3840,LEGO Jurassic World,2015.0,Warner Bros. Interactive Entertainment,United States,Chicago,TT Games,WiiU,Action,0.27,0.19,0.02,0.04,0.52,71.0,5.0,8.1,14.0,E10+
3841,Mega Man 6,1993.0,Capcom,Japan,Osaka,,NES,Platform,0.28,0.07,0.16,0.01,0.52,,,,,
3842,NBA Live 09,2008.0,Electronic Arts,United States,Redwood City,EA Canada,PS3,Sports,0.46,0.0,0.02,0.04,0.52,75.0,32.0,7.8,15.0,E
3843,FIFA 12,2011.0,Electronic Arts,United States,Redwood City,,PSP,Sports,0.12,0.25,0.02,0.13,0.52,,,,,
3844,Mission: Impossible,1999.0,Infogrames,nan,nan,,PS,Action,0.29,0.2,0.0,0.03,0.52,,,,,
3845,Rory McIlroy PGA Tour,2015.0,Electronic Arts,United States,Redwood City,EA Tiburon,PS4,Action,0.18,0.25,0.0,0.08,0.52,61.0,33.0,3.7,78.0,E
3846,SingStar Dance,2010.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",SCEE London Studio,PS3,Misc,0.09,0.31,0.0,0.11,0.52,65.0,21.0,3.9,8.0,T
3847,Rival Schools: United By Fate,1998.0,Capcom,Japan,Osaka,,PS,Fighting,0.12,0.08,0.28,0.03,0.52,,,,,
3848,Lords of the Fallen,2014.0,Square Enix,Japan,"Shinjuku, Tokyo","City Interactive, Deck 13",PS4,Role-Playing,0.18,0.24,0.02,0.08,0.52,68.0,45.0,6.6,425.0,M
3849,Swing Away Golf,2000.0,Electronic Arts,United States,Redwood City,T&E Soft,PS2,Sports,0.17,0.13,0.18,0.04,0.52,78.0,15.0,,,E
